gene
SAMD11
MMP23B
AJAP1
KCNAB2
TNFRSF25
PLEKHG5
TNFRSF9
SPSB1
PIK3CD
PDPN
KAZN
TMEM51
C1orf195
ACTL8
IGSF21
NBL1
PLA2G2A
PLA2G5
LDLRAD2
HSPG2
C1QA
C1QB
CNR2
AL445648.1
RUNX3
MAN1C1
UBXN11
CD52
RPS6KA1
SYTL1
MAP3K6
FCN3
FGR
THEMIS2
RAB42
LAPTM5
SDC3
FABP3
AL354919.1
LCK
CSF3R
HEYL
PTCH2
PIK3R3
AGBL4
LINC02808
GPX7
SHISAL2A
PODN
AL603840.1
AC119674.1
AL136985.3
JUN
AC099792.1
ROR1
PDE4B
SGIP1
IL12RB2
LRRC7
NEGR1
ERICH3-AS1
SLC44A5
AC092813.1
ST6GALNAC3
AK5
IFI44L
ADGRL4
AC099671.1
AL136234.1
MCOLN2
LINC02795
ODF2L
CLCA4-AS1
GBP1
GBP5
LRRC8C
TGFBR3
EPHX4
VCAM1
AC099567.1
LINC01677
VAV3
SLC25A24
FAM102B
KCNC4
CD53
WNT2B
PTPN22
NGF
LINC01762
CD2
VTCN1
HMGCS2
LINC02798
CD160
FMO5
PLEKHO1
CTSS
NPR1
SLC27A3
SEMA4A
NES
SH2D2A
FCRL5
FCRL3
FCRL2
FCRL1
CD5L
SPTA1
PYHIN1
IFI16
AIM2
FCRL6
SLAMF6
CD84
CD48
SLAMF7
LY9
CD244
ITLN1
ARHGAP30
ADAMTS4
FCGR2A
HSPA6
FCGR3A
FCGR2B
SH2D1B
RXRG
CD247
RCSD1
LINC00970
SELL
SELE
FMO2
FASLG
AL031599.1
RASAL2
GLUL
RGS16
NPL
LAMC2
NCF2
RGL1
C1orf21
NIBAN1
HMCN1
PTGS2
PLA2G4A
AL136372.2
RGS18
RGS1
RGS2
AL136456.1
ASPM
AL450352.1
PTPRC
MIR181A1HG
KIF21B
NAV1
PTPN7
PPFIA4
CHI3L1
PIK3C2B
NFASC
AC119673.2
RAB7B
RHEX
SRGAP2
FCMR
CR2
CR1
AL137789.1
CR1L
TRAF3IP3
TRAF5
NEK2
BATF3
PTPN14
CENPF
ESRRG
LINC00210
AC099066.1
ITPKB
GJC2
DISC1
SIPA1L2
PCNX2
SLC35F3
GPR137B
RYR2
CHRM3
KMO
AKT3
KIF26B
ZNF124
NLRP3
SNTG2
AC105450.1
PXDN
ALLC
RNF144A
LINC01871
AC064875.1
AC093912.1
FAM49A
KLHL29
ADCY3
OTOF
SLC5A6
PLB1
LBH
GALNT14
EHD3
XDH
NLRC4
RASGRP3
CRIM1
SLC8A1
AC007877.1
PLEKHH2
NRXN1
AC010967.1
CCDC88A
EFEMP1
AC007100.1
BCL11A
AC092155.1
WDPCP
PLEK
ARHGAP25
ANXA4
AC007881.2
DYSF
CYP26B1
LOXL3
HK2
LRRTM4
AC012494.1
GNLY
CYTOR
IGKC
LINC00342
ANKRD36C
DUSP2
ZAP70
INPP4A
AFF3
RFX8
IL18RAP
LINC01102
PANTR1
ST6GAL2
AC005040.2
SH3RF3
MIR4435-2HG
MERTK
IL1B
DPP10
MARCO
SCTR
AC011246.1
GYPC
C2orf27A
NCKAP5
CXCR4
THSD7B
ARHGAP15
ZEB2
TEX41
AC105402.3
LINC01818
RND3
FMNL2
LINC01958
CYTIP
