feature
TF_FOXF2
TF_FOXD1
TF_IRF2
TF_MAX::MYC
TF_PPARG
TF_PAX6
TF_PBX1
TF_RORA
TF_RREB1
TF_RXRA::VDR
TF_SOX9
TF_SRY
TF_TAL1::TCF3
TF_REL
TF_RELA
TF_NR1H2::RXRA
TF_NFIC::TLX1
TF_ZNF354C
TF_CTCF
TF_EWSR1-FLI1
TF_REST
TF_INSM1
TF_RARA::RXRA
TF_PLAG1
TF_ARNT::HIF1A
TF_DUX4
TF_FOS
TF_FOSL2
TF_FOXH1
TF_JUN
TF_JUND
TF_MEF2C
TF_MAF::NFE2
TF_NR2C2
TF_STAT1::STAT2
TF_TCF7L2
TF_ZBTB33
TF_ELK4
TF_ESR2
TF_STAT1
TF_STAT3
TF_GATA1::TAL1
TF_FOXP2
TF_SREBF1
TF_SREBF2
TF_KLF5
TF_DMRT3
TF_FOXG1
TF_LBX1
TF_POU6F1
TF_SHOX
TF_ALX3
TF_BARHL2
TF_BHLHE41
TF_CREB3
TF_DBP
TF_ELF4
TF_EN1
TF_ETV6
TF_FLI1
TF_FOXI1
TF_FOXL1
TF_GCM1
TF_GRHL1
TF_GSC
TF_HEY2
TF_HINFP
TF_HNF1A
TF_HNF1B
TF_HSF1
TF_IRF8
TF_IRF9
TF_ISX
TF_JDP2
TF_KLF13
TF_LHX6
TF_MEF2B
TF_MEOX1
TF_MIXL1
TF_MLX
TF_MLXIPL
TF_MSC
TF_MYF6
TF_NEUROG2
TF_NFIA
TF_NFIX
TF_NHLH1
TF_NKX2-3
TF_NKX2-8
TF_NKX6-1
TF_NKX6-2
TF_OLIG2
TF_PAX4
TF_POU4F2
TF_SPDEF
TF_SPIC
TF_SRF
TF_TBXT
TF_TBX2
TF_TBX20
TF_TFAP4
TF_TFEB
TF_ZBTB7B
TF_ZBTB7C
TF_ZIC1
TF_ZBTB18
TF_LBX2
TF_MEOX2
TF_NOTO
TF_OTX1
TF_PDX1
TF_PHOX2A
TF_PITX3
TF_PROP1
TF_PRRX1
TF_RAX2
TF_RAX
TF_RHOXF1
TF_UNCX
TF_VAX1
TF_VENTX
TF_VSX1
TF_VSX2
TF_ESR1
TF_ESRRB
TF_NR2F1
TF_NR3C1
TF_NR3C2
TF_RARA
TF_BCL6B
TF_EGR2
TF_EGR3
TF_EGR4
TF_GLIS1
TF_GLIS2
TF_GLIS3
TF_HIC2
TF_KLF16
TF_SP8
TF_ZBED1
TF_ZIC4
TF_ZNF143
TF_ZNF410
TF_CUX2
TF_ONECUT3
TF_E2F7
TF_ERF
TF_ETS1
TF_ETV2
TF_ETV3
TF_GCM2
TF_HSF2
TF_HSF4
TF_IRF7
TF_MEF2D
TF_MEIS1
TF_MEIS2
TF_MEIS3
TF_MYBL1
TF_MYBL2
TF_NFKB1
TF_NFKB2
TF_PAX1
TF_PAX3
TF_PAX9
TF_PKNOX2
TF_POU2F1
TF_POU3F1
TF_POU3F2
TF_POU3F3
TF_POU3F4
TF_POU4F1
TF_POU4F3
TF_POU5F1B
TF_POU6F2
TF_PROX1
TF_RFX2
TF_SMAD3
TF_TGIF1
TF_TGIF2
TF_RFX5
TF_RUNX2
TF_EOMES
TF_MGA
TF_TBR1
TF_TBX15
TF_TBX19
TF_TBX1
TF_TBX4
TF_TBX5
TF_TEAD3
TF_TFAP2A
TF_TFAP2B
TF_TFAP2C
TF_BHLHE40
TF_BHLHE23
TF_FIGLA
TF_HES7
TF_HEY1
TF_MAX
TF_MNT
TF_OLIG1
TF_OLIG3
TF_ATF7
TF_CEBPG
TF_CREB3L1
TF_NFE2
TF_TEF
TF_XBP1
TF_FOXB1
TF_FOXC1
TF_FOXC2
TF_FOXO4
TF_FOXO6
TF_FOXP3
TF_RXRB
TF_RXRG
TF_TP63
TF_TP53
TF_TP73
TF_GMEB2
TF_MTF1
TF_E2F1
TF_SOX21
TF_ELK1
TF_HOXD12
TF_BARX1
TF_BSX
TF_DLX6
TF_EMX2
TF_EVX1
TF_EVX2
TF_GBX1
TF_GBX2
TF_GSC2
TF_GSX1
TF_HESX1
TF_HMBOX1
TF_HOXA10
TF_HOXB3
TF_HOXC10
TF_HOXC12
TF_HOXC13
TF_HOXD11
TF_ISL2
TF_FOXK1
TF_GATA2
TF_HIF1A
TF_MYC
TF_MYB
TF_MYCN
TF_NEUROD1
TF_NFIC
TF_NFYA
TF_NR2F2
TF_PAX5
TF_PBX3
TF_POU5F1
TF_RBPJ
TF_RELB
TF_SIX1
TF_SIX2
TF_SOX10
TF_SOX13
TF_TEAD2
TF_TFDP1
TF_ZBTB7A
TF_ZEB1
TF_ZNF24
TF_ZNF384
TF_ZNF282
TF_ZSCAN4
TF_FOS::JUN
TF_FOSB::JUN
TF_FOSL1::JUN
TF_FOSL2::JUN
TF_JUN::JUNB
TF_FOS::JUNB
TF_FOSB::JUNB
TF_FOSL1::JUNB
TF_FOSL2::JUNB
TF_FOS::JUND
TF_FOSL1::JUND
TF_FOSL2::JUND
TF_NR1H4::RXRA
TF_NR4A2::RXRA
TF_PPARA::RXRA
TF_RARA::RXRG
TF_RORB
TF_RORC
TF_SOX15
TF_IRF3
TF_IRF4
TF_IRF5
TF_TCF7L1
TF_ARGFX
TF_ARNT2
TF_ATF6
TF_ATOH7
TF_BACH2
TF_BARX2
TF_CDX4
TF_CREB3L4
TF_DMRTA2
TF_DMRTC2
TF_DPRX
